線対称,,,1000,名詞,一般,*,*,*,*,線対称,センタイショウ,センタイショウ
数学I,,,1000,名詞,一般,*,*,*,*,数学I,スウガクイチ,スウガクイチ
数学A,,,1000,名詞,一般,*,*,*,*,数学A,スウガクエー,スウガクエー
数学II,,,1000,名詞,一般,*,*,*,*,数学II,スウガクニ,スウガクニ
数学B,,,1000,名詞,一般,*,*,*,*,数学B,スウガクビー,スウガクビー
数学III,,,1000,名詞,一般,*,*,*,*,数学III,スウガクサン,スウガクサン
数学C,,,1000,名詞,一般,*,*,*,*,数学C,スウガクシー,スウガクシー
平面図形,,,1000,名詞,一般,*,*,*,*,平面図形,ヘイメンズケイ,ヘイメンズケイ
空間図形,,,1000,名詞,一般,*,*,*,*,空間図形,クウカンズケイ,クウカンズケイ
解析幾何学,,,5000,名詞,一般,*,*,*,*,解析幾何学,カイセキキカガク,カイセキキカガク
直交座標,,,1000,名詞,一般,*,*,*,*,直交座標,チョッコウザヒョウ,チョッコウザヒョウ
初等幾何,,,5000,名詞,一般,*,*,*,*,初等幾何,ショトウキカ,ショトウキカ
中線定理,,,5000,名詞,一般,*,*,*,*,中線定理,チュウセンテイリ,チュウセンテイリ
三平方の定理,,,2000,名詞,一般,*,*,*,*,三平方の定理,サンヘイホウノテイリ,サンヘイホウノテイリ
境界線,,,1000,名詞,一般,*,*,*,*,境界線,キョウカイセン,キョウカイセン
使用限度量,,,1000,名詞,一般,*,*,*,*,使用限度量,シヨウゲンドリョウ,シヨウゲンドリョウ
線形計画法,,,5000,名詞,一般,*,*,*,*,線形計画法,センケイケイカクホウ,センケイケイカクホウ
指数関数,,,2000,名詞,一般,*,*,*,*,指数関数,シスウカンスウ,シスウカンスウ
対数関数,,,2000,名詞,一般,*,*,*,*,対数関数,タイスウカンスウ,タイスウカンスウ
正の整数,,,1000,名詞,一般,*,*,*,*,正の整数,セイノセイスウ,セイノセイスウ
負の整数,,,1000,名詞,一般,*,*,*,*,負の整数,フノセイスウ,フノセイスウ
指数法則,,,2000,名詞,一般,*,*,*,*,指数法則,シスウホウソク,シスウホウソク
y=2^x,,,20000,名詞,一般,*,*,*,*,y=2^x,*,*
y=(1/2)^x,,,50000,名詞,一般,*,*,*,*,y=(1/2)^x,*,*
2^x=4,,,50000,名詞,一般,*,*,*,*,2^x=4,*,*
2^x=3,,,50000,名詞,一般,*,*,*,*,2^x=3,*,*
